"%s was successfully added to your shopping cart.","%s je uspješno dodan u vašu košaricu."
"&laquo; Back to Billing Information","&laquo; Povratak na informacije o fakturiranju"
"&laquo; Back to Select Addresses","&laquo; Povratak na odabir adresa"
"&laquo; Back to Shopping Cart","&laquo; Povratak u košaricu"
"* Required Fields","* Obavezno popuniti"
"Add New Address","Dodaj novu adresu"
"Add New Condition","Add New Condition"
"Add to Cart","Dodaj u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj na Listu želja"
"Address","Adresa"
"Address %s of %s","Adresa %s od %s"
"After adding a product redirect to shopping cart","Poslije dodavanja proizvoda preusmjeri na košaricu"
"Allow Guest Checkout","Dopusti naplatu Gostu"
"Already registered?","Već ste registrirani?"
"An error occurred in the process of payment","Došlo je do greške pri naplati"
"Apply Coupon","Iskoristite kupon"
"Are you sure you would like to remove this item from the shopping cart?","Jeste li sigurni da želiti ukloniti ovaj artikl iz košarice?"
"Back","Povratak"
"Back to Shipping Information","Povratak na informacije o transportu"
"Based on your selection, you may be interested in the following items:","Možda će vas zanimati i sljedeći artikli:"
"Billing Address","Adresa plaćanja"
"Billing Information","Informacije o plaćanju"
"Billing Information - %s","Informacije o plaćanju - %s"
"Can not add item to shopping cart","Artikl nije moguće dodati u košaricu"
"Can not apply coupon code.","Ne mogu iskoristiti kupon."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Otkaži kupon"
"Cannot remove item","Artikl se ne može ukloniti"
"Cannot update shopping cart","Košarica se ne može promijeniti"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart", "Košarica"
"Cart Subtotal:","Ukupno:"
"Change","Change"
"Change Billing Address","Promijeni adresu na računu"
"Checkbox text","Checkbox text"
"Checkout","Naplata"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Opcije naplate"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Naplata kao Gost"
"Checkout as a Guest or Register","Izvršite plaćanje kao Gost ili se registrirajte"
"Checkout method","Način naplate"
"Checkout with Multiple Addresses","Naplata uz višestruke adrese"
"City","Grad"
"Click <a href=""%s"">here</a> to continue shopping.","Kliknite <a href=""%s"">ovdje</a> za nastavak kupovine."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Zatvori"
"Company","Poduzeće"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Slika konfigurabilnog proizvoda"
"Confirm Password","Potvrdi lozinku"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Nastavi"
"Continue Shopping","Nastavi kupnju"
"Continue to Billing Information","Nastavi s informacijama o plaćanju"
"Continue to Review Your Order","Nastavite s pregledom vaše narudžbe"
"Continue to Shipping Information","Nastavi s informacijama o transportu"
"Country","Država"
"Coupon code ""%s"" is not valid.","Kupon ""%s""nije ispravan."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Kupon je uspješno otkazan."
"Create Billing Address","Kreiraj adresu plaćanja"
"Create Shipping Address","Kreiraj adresu isporuke"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Problem sa snimanjem podataka"
"Default Billing","Uobičajena naplata"
"Default Shipping","Uobičajena dostava"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Kodovi za popust"
"Display Cart Summary","Prilaži sažetak košarice"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Prikaži količine artikala"
"Display number of items in cart","Prikaži broj artikala u košarici"
"Easy access to your order history and status","Brzi pristup vašoj arhivi narudžbi i statusu"
"Edit","Promijeni"
"Edit Address","Promijeni adresu "
"Edit Billing Address","Promijeni adresu na računu"
"Edit Items","Promijeni artikle"
"Edit Shipping Address","Promijeni adresu za isporuku"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Promijeni košaricu"
"Email Address","Adresa elektroničke pošte"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","Unesi novu adresu"
"Enter your coupon code if you have one.","Unesite broj kupona ako ga imate."
"Enter your destination to get a shipping estimate.","Ukoliko želite napraviti procjenu troškova dostave â€“ ovdje unesite odredišnu adresu."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Procjena troškova dostave"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Brza i jednostavna naplata"
"Fax","Faks"
"Forgot an Item?","Zaboravili ste neki artikl?"
"Forgot your password?","Zaboravili ste lozinku?"
"Get a Quote","Napravite procjenu"
"Grand Total:","Sveukupno:"
"Grouped product image","Slika grupnog proizvoda"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Neispravan podatak"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Neispravan način dostave."
"Items","Artikli"
"Load customer quote error","Greška pri učitavanju procjene"
"Loading next step...","Učitavam slijedeći korak..."
"Login","Prijava"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalna količina dozvoljena za dostavu na više adresa je %s"
"Move to Wishlist","Prebaci na listu želja"
"My Account","Moj korisnički račun"
"My Cart","My Cart"
"My Cart (%s item)","Moja košarica (%s artikl)"
"My Cart (%s items)","Moja košarica (%s artikala)"
"My Cart Link","Link na Moju košaricu"
"New Address","Nova adresa"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Pregled narudžbe"
"Order Success","Narudžba uspješna"
"Other items in your order","Other items in your order"
"Password","Lozinka"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Informacije o plaćanju"
"Payment Method","Način plaćanja"
"Payment method is not defined","Način plaćanja nije definiran"
"Place Order","Pošalji narudžbu"
"Please <a href=""%s"">continue shopping</a>.","Molimo <a href=""%s"">nastavite kupnju</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Molimo unesite ispravan poštanski broj. Na primjer 10000 ili 43000."
"Please log in below:","Molim, prijavite se ispod:"
"Please select region, state or province","Molimo odaberite regiju ili županiju"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Molim odaberite način dostave za sve adrese"
"Price","Cijena"
"Proceed to Checkout","Produžite na naplatu"
"Product","Proizvod"
"Product Name","Ime proizvoda"
"Product does not exist","Proizvod ne postoji"
"Qty","Količina"
"Quote Lifetime (days)","Rok važenja predračuna (dana)"
"Recently added item(s)","Nedavno dodani artikli"
"Register","Registrirajte se"
"Register and save time!","Registrirajte se u uštedite vrijeme!"
"Register to Create an Account","Registrirajte se da bi ste kreirali vaš korisnički račun"
"Register with us for future convenience:","Registrirajte se kod nas za buduće pogodnosti:"
"Remove","Uklonite"
"Remove Item","Uklonite artikl"
"Remove Product","Uklonite proizvod"
"Review Order","Pregledajte narudžbu"
"Review Order - %s","Pregledajte narudžbu - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Spremite u imenik"
"Select Address","Odaberite adresu"
"Select Addresses","Odaberite adrese"
"Select Shipping Method","Ogaberite način dostave"
"Select State/Province...","Odaberite županiju/regiju"
"Select a billing address from your address book or enter a new address.","Odaberite adresu naplate iz vašeg imenika ili unesite novu adresu."
"Select a shipping address from your address book or enter a new address.","Odaberite adresu dostave iz vašeg imenika ili unesite novu adresu."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Pošaljite"
"Ship to Multiple Addresses","Dostaviti na više adresa"
"Ship to different address","Dostaviti na drugu adresu"
"Ship to this address","Dostaviti na ovu adresu"
"Shipping Address","Adresa dostave"
"Shipping Information","Informacije o dostavi"
"Shipping Method","Način dostave"
"Shipping Methods","Načini dostave"
"Shipping method has not been selected yet","Način dostave još nije odabran"
"Shipping selection is not applicable","Odabrana dostava nije primjenjiva"
"Shipping to","Dostava u"
"Shopping Cart","Košarica"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Košarica je prazna"
"Show Content as","Prikaži sadržaj kao"
"Some of the products you requested are not available in the desired quantity","Neki od proizvoda koje ste odabrali nisu dostupni u zahtijevanoj količini"
"Some of the products you requested are unavailable","Neki od proizvoda koje ste odabrali nisu dostupni"
"Sorry, Onepage Checkout is disabled.","Nažalost, Onepage Checkout je onemogućen."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Nažalost, kao gost ne možete produžiti na naplatu. Molimo Vas pokušajte ponovno ili kontaktirajte vlasnika."
"Sorry, no quotes are available for this order at this time.","Žao nam je, za sada nema dostupnih procjena za ovu narudžbu."
"State/Province","Županija/regija"
"Status","Status"
"Store View","Store View"
"Street Address","Adresa"
"Street Address ","Adresa "
"Submitting order information...","Šaljem informacije o narudžbi..."
"Subtotal","Podsuma"
"Telephone","Telefon"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Text","Tekst"
"Thank you for your purchase!","Zahvaljujemo na narudžbi!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Imate <a href=""%s""><strong>%s artikala</strong></a> u košarici."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Imate <a href=""%s""><strong>1 artikl</strong></a> u košarici."
"There is already a customer registered using this email address","Već postoji kupac s ovom email adresom"
"There was an error processing your order. Please contact us or try again later.","Došlo je do greške pri obradi Vaše narudžbe. Molimo Vas, kontaktirajte nas ili pokušajte ponovno kasnije."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Ukupno za tu adresu"
"Unit Price","Jedinična cijena"
"Update Qty &amp; Addresses","Ažurirajte kol. &amp; Adrese"
"Update Shopping Cart","Ažurirajte košaricu"
"Update Total","Ažurirajte ukupno"
"Use Billing Address","Koristite adresu plaćanja"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Obrađujemo vašu narudžbu i vi ćete uskoro primiti email s detaljima narudžbe. Kada roba bude poslana vi ćete dobiti drugi email sa linkom za praćenje vaše narudžbe."
"You have no items in your shopping cart.","Nemate artikala u vašoj košarici."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Primit ćete email s potvrdom narudžbe te detaljima i linkom za praćenje vaše narudžbe."
"Your Checkout Progress","Vaš status naplate"
"Your order # is: %s","Broj vaše narudžbe je: %s"
"Your order # is: <a href=""%s"">%s</a>","Broj Vaše narudžbe je: <a href=""%s"">%s</a>"
"Your order has been received","Vaša narudžba je zaprimljena"
"Your order number is ","Broj Vaše narudžbe je "
"Zip/Postal Code","Poštanski broj"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Moja košarica"
"You have no items in your shopping cart.","Nemate ni jedan artikal u košarici."
"Checkout","Naplata"
"Shopping Cart is Empty","Košarica je prazna"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
