"If you have an account with us, please log in.","Ako već imate korisnički račun kod nas, molimo Vas prijavite se."
"Faster checkout","Brža naplata"
"Forgot Your Password?","Zaboravili ste lozinku?"
"Forgot your password?","Zaboravili ste lozinku?"
"Please enter the following information to create your account.","Molimo Vas popunite potrebne podatke kako biste se registrirali."
"Register and Checkout","Registracija i Naplata"
"Registration is free and easy!","Prijava je besplatna i jednostavna!"
"Returning Customers","Redoviti kupci"
"Save multiple shipping addresses","Pohranite adrese pri kupnji"
"Sign in to speed up your checkout process","Prijavite se kako biste ubrzali postupak naplate"
"Sign Up for Newsletter","Pretplati me na važne obavijesti"
"View and track orders and more","Prikaz i praćenje narudžbi i još mnogo toga"